营业日	门店名称	区域	桌台号	订单号	商品编码	商品名称	套餐子菜	单价	数量	单位	惠前金额	单商品优惠	惠后金额	商品中类	商品大类
2017-12-14	五村牛肉粉(遵义中华路店)			101171214123508606820739	SKU0010	原汤牛肉粉/面		8	1	份	8	0	8	全部	默认
2017-12-14	五村牛肉粉(遵义中华路店)			101171214174536427820739	SKU0010	原汤牛肉粉/面		8	1	份	8	0	8	全部	默认
2017-12-14	五村牛肉粉(遵义中华路店)			101171214175835196820739	SKU0002	红烧牛肉粉/面		8	1	份	8	0.16	7.84	全部	默认
2017-12-14	五村牛肉粉(遵义中华路店)			101171214192351381820739	SKU0002	红烧牛肉粉/面		8	1	份	8	0	8	全部	默认
2017-12-14	五村牛肉粉(遵义中华路店)			101171214192447137820739	SKU0010	原汤牛肉粉/面		8	1	份	8	0	8	全部	默认
2017-12-14	五村牛肉粉(遵义中华路店)			101171214204424086820739	SKU0010	原汤牛肉粉/面		8	1	份	8	0	8	全部	默认
2017-12-14	五村牛肉粉(遵义中华路店)			302171214205226000001	SKU0009	五村特色牛肉蒸笼		16	1	份	16	0	16	全部	默认
2017-12-14	五村牛肉粉(遵义中华路店)			101171214223105878820739	SKU0010	原汤牛肉粉/面		8	1	份	8	0	8	全部	默认
2017-12-14	五村牛肉粉(遵义中华路店)			101171214223254076820739	SKU0010	原汤牛肉粉/面		8	1	份	8	0	8	全部	默认
2017-12-14	五村牛肉粉(遵义中华路店)			101171214225921930820739	SKU0010	原汤牛肉粉/面		8	1	份	8	0	8	全部	默认
2017-12-14	五村牛肉粉(遵义中华路店)			101171214225948394820739	SKU0010	原汤牛肉粉/面		8	1	份	8	0	8	全部	默认
2017-12-14	五村牛肉粉(遵义中华路店)			101171214230512951820739	SKU0010	原汤牛肉粉/面		8	1	份	8	0	8	全部	默认
2017-12-14	五村牛肉粉(遵义中华路店)			101171214230528662820739	SKU0010	原汤牛肉粉/面		8	1	份	8	0	8	全部	默认
2017-12-14	五村牛肉粉(遵义中华路店)			101171214230551006820739	SKU0010	原汤牛肉粉/面		8	1	份	8	0	8	全部	默认
2017-12-14	五村牛肉粉(遵义中华路店)			101171214230810906820739	SKU0010	原汤牛肉粉/面		8	1	份	8	0	8	全部	默认
2017-12-14	五村牛肉粉(遵义中华路店)			101171214230912523820739	SKU0010	原汤牛肉粉/面		8	1	份	8	0	8	全部	默认
2017-12-14	五村牛肉粉(遵义中华路店)			302171214231932000003	SKU0010	原汤牛肉粉/面		8	1	份	8	0	8	全部	默认
2017-12-14	五村牛肉粉(遵义中华路店)			302171214232638000004	SKU0003	加肉		4	1	份	4	0	4	全部	默认
2017-12-15	五村牛肉粉(遵义中华路店)			101171215075102415820739	SKU0002	红烧牛肉粉/面		8	1	份	8	0	8	全部	默认
2017-12-15	五村牛肉粉(遵义中华路店)			101171215075138374820739	SKU0010	原汤牛肉粉/面		8	1	份	8	0	8	全部	默认
